# Skipped 123 functions
# Format: address | function_name | reason
#================================================================================

0x1c560 | @GetDate$qm4Wordt1t1t1 | library function
0x1c582 | @SetDate$q4Wordt1t1 | library function
0x1c596 | @GetTime$qm4Wordt1t1t1 | library function
0x1c5bb | @SetTime$q4Wordt1t1t1 | library function
0x1c5d2 | @DiskFree$q4Byte | library function
0x1c5eb | @DiskSize$q4Byte | library function
0x25910 | @__CRTInit$qv | library function
0x25940 | unknown_libname_1 | library function
0x259a9 | sub_259A9 | library function
0x259f7 | sub_259F7 | library function
0x25a55 | sub_25A55 | library function
0x25a92 | @WINDOW$q4BYTEt1t1t1 | library function
0x25ad2 | @CLRSCR$qv | library function
0x25aec | @CLREOL$qv | library function
0x25b00 | @INSLINE$qv | library function
0x25b25 | @GOTOXY$q4BYTEt1 | library function
0x25b51 | @WHEREX$qv | library function
0x25b5d | @WHEREY$qv | library function
0x25b69 | @TEXTCOLOR$q4BYTE | library function
0x25b83 | @TEXTBACKGROUND$q4BYTE | library function
0x25b9b | @LOWVIDEO$qv | library function
0x25ba1 | @HIGHVIDEO$qv | library function
0x25ba7 | @NORMVIDEO$qv | library function
0x25bae | @DELAY$q4WORD | library function
0x25bce | sub_25BCE | library function
0x25bd6 | @SOUND$q4WORD | library function
0x25c03 | @NOSOUND$qv | library function
0x25c0a | @KEYPRESSED$qv | library function
0x25c1c | @READKEY$qv | library function
0x25c3e | @ASSIGNCRT$qm4TEXT | library function
0x25d84 | sub_25D84 | library function
0x25d8b | sub_25D8B | library function
0x25de4 | sub_25DE4 | library function
0x25e05 | sub_25E05 | library function
0x25e0c | sub_25E0C | library function
0x25f18 | sub_25F18 | library function
0x261e0 | @__SystemInit$qv | library function
0x262b8 | @Halt$q4Word | library function
0x263e7 | @IOResult$qv | library function
0x263ee | @__IOCheck$qv | library function
0x263fc | @__RangeCheck$q7Longintpa2$7Longint | library function
0x26424 | @__StackCheck$q4Word | library function
0x2643d | @Sqr$q7Longint | library function
0x2645c | @$brdiv$q7Longintt1 | library function
0x264ca | @$brrsh$q7Longint7Integer | library function
0x264d6 | @$brlsh$q7Longint7Integer | library function
0x264e2 | @Abs$q7Longint | library function
0x264f1 | @$basg$qm6Stringt1 | library function
0x2650b | @$basg$qm6Stringt14Byte | library function
0x2652f | @Length$qm6String | library function
0x2653d | @Copy$qm6Stringt17Integert3 | library function
0x2657e | @Concat$qm6Stringt1 | library function
0x265aa | @Pos$qm6Stringt1 | library function
0x265f6 | @$bsub$qm6Stringt1 | library function
0x26621 | @$basg$qm6String4Char | library function
0x26633 | @$basg$qm6Stringn4Char4Byte | library function
0x2664e | @Insert$qm6Stringt14Word7Integer | library function
0x266a2 | @Delete$qm6String7Integert2 | library function
0x266f8 | __RealSub | library function
0x266fc | __RealAdd | library function
0x267bf | __RealMul | library function
0x268c4 | __RealDiv | library function
0x2693b | __RealCmp | library function
0x26952 | sub_26952 | library function
0x26965 | __RealFloat | library function
0x269a4 | __RealTrunc | library function
0x26a00 | @$brplu$q4Realt1 | library function
0x26a06 | @$brmin$q4Realt1 | library function
0x26a0c | @Sqr$q4Real | library function
0x26a12 | @$brmul$q4Realt1 | library function
0x26a18 | @$brdiv$q4Realt1 | library function
0x26a22 | @__Cmp$q4Realt1 | library function
0x26a26 | @Real$q7Longint | library function
0x26a2a | @Trunc$q4Real | library function
0x26a32 | @Round$q4Real | library function
0x26a4c | sub_26A4C | library function
0x26a56 | sub_26A56 | library function
0x26a60 | sub_26A60 | library function
0x26a6a | sub_26A6A | library function
0x26a74 | @Int$q4Real | library function
0x26ac5 | @Frac$q4Real | library function
0x26ad9 | @Sqrt$q4Real | library function
0x26b36 | @Sin$q4Real | library function
0x26b49 | @Cos$q4Real | library function
0x26bd4 | @Ln$q4Real | library function
0x26c7d | @Exp$q4Real | library function
0x26d20 | @ArcTan$q4Real | library function
0x26e4f | sub_26E4F | library function
0x26e55 | sub_26E55 | library function
0x26e6e | sub_26E6E | library function
0x26ebd | __Int2Str | library function
0x26f37 | __Str2Int | library function
0x26fcf | __Real2Str | library function
0x270bb | sub_270BB | library function
0x270c7 | sub_270C7 | library function
0x27152 | __Str2Real | library function
0x271fe | sub_271FE | library function
0x2723c | sub_2723C | library function
0x272c8 | sub_272C8 | library function
0x27316 | @Assign$qm4Textm6String | library function
0x2735b | @SetTextBuf$qm4Textm3Any4Word | library function
0x27386 | @Reset$qm4Text | library function
0x2738b | @Rewrite$qm4Text | library function
0x273db | @Flush$qm4Text | library function
0x273df | @Close$qm4Text | library function
0x2741a | sub_2741A | library function
0x27595 | __GetEntry | library function
0x275b9 | __GetChar | library function
0x275d5 | __PutEntry | library function
0x275f9 | __PutChar | library function
0x27608 | sub_27608 | library function
0x27639 | @ReadLn$qm4Text | library function
0x27662 | @WriteLn$qm4Text | library function
0x27681 | @Write$qm4Text | library function
0x276a7 | @Read$qm4Text4Char | library function
0x276c5 | @Write$qm4Text4Char4Word | library function
0x276f2 | @Read$qm4Textm6String4Word | library function
0x2772a | @Write$qm4Textm6String4Word | library function
0x27768 | @Read$qm4Text7Longint | library function
0x277c0 | @Write$qm4Text7Longint4Word | library function
0x27809 | @Read$qm4Text4Real | library function
0x27863 | @Write$qm4Text4Real4Wordt3 | library function
0x278c4 | @UpCase$q4Char | library function
